timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749454789451,346,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,1258,191,12,30,https://api.clickup.com/api/v2/user,346,0,237
1749454789153,644,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,1258,191,12,30,https://api.clickup.com/api/v2/user,644,0,530
1749454789059,750,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1258,191,12,30,https://api.clickup.com/api/v2/user,750,0,621
1749454789585,226,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-108,text,true,,1258,191,12,30,https://api.clickup.com/api/v2/user,226,0,108
1749454789253,565,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,1258,191,12,30,https://api.clickup.com/api/v2/user,565,0,439
1749454789164,656,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-110,text,true,,1258,191,12,31,https://api.clickup.com/api/v2/user,656,0,511
1749454789355,465,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-7,text,true,,1258,191,12,31,https://api.clickup.com/api/v2/user,465,0,319
1749454789374,460,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-109,text,true,,1258,191,12,31,https://api.clickup.com/api/v2/user,460,0,306
1749454789655,204,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,1258,191,13,32,https://api.clickup.com/api/v2/user,204,0,89
1749454789755,183,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1258,191,13,34,https://api.clickup.com/api/v2/user,183,0,91
1749454789810,183,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1258,191,14,36,https://api.clickup.com/api/v2/user,183,0,91
1749454789799,202,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,1258,191,14,36,https://api.clickup.com/api/v2/user,202,0,99
1749454789795,206,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-107,text,true,,1258,191,14,36,https://api.clickup.com/api/v2/user,206,0,91
1749454789820,196,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-110,text,true,,1258,191,15,37,https://api.clickup.com/api/v2/user,196,0,97
1749454789799,217,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,1258,191,15,37,https://api.clickup.com/api/v2/user,217,0,98
1749454789811,212,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 1-108,text,true,,1258,191,15,37,https://api.clickup.com/api/v2/user,212,0,95
